parameter,parameter_change_percent,ATP_production,ATP_change_percent,sensitivity_coefficient
glucose_availability,-10.0,162.0,-10.0,1.0
glucose_availability,10.0,198.00000000000003,10.000000000000016,1.0000000000000016
tca_conversion,-10.0,162.00000000000003,-9.999999999999984,0.9999999999999984
tca_conversion,10.0,198.00000000000003,10.000000000000016,1.0000000000000016
mitochondrial_efficiency,-10.0,162.0,-10.0,1.0
mitochondrial_efficiency,10.0,198.00000000000003,10.000000000000016,1.0000000000000016
